REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
87,dm_unscreened,57.7,40.1,75.2,Proportion,"57.7 (40.1, 75.2)",83,,NA,Haryana,6,Mewat
87,dm_undiagnosed,74.1,62.7,85.4,Proportion,"74.1 (62.7, 85.4)",83,,NA,Haryana,6,Mewat
88,dm_unscreened,27.4,15.2,39.7,Proportion,"27.4 (15.2, 39.7)",189,,NA,Haryana,6,Faridabad
88,dm_undiagnosed,55.2,45.6,64.7,Proportion,"55.2 (45.6, 64.7)",189,,NA,Haryana,6,Faridabad
89,dm_unscreened,37.9,27.8,48,Proportion,"37.9 (27.8, 48)",185,,NA,Haryana,6,Palwal
89,dm_undiagnosed,58.6,48.9,68.4,Proportion,"58.6 (48.9, 68.4)",185,,NA,Haryana,6,Palwal
99,dm_unscreened,26.8,15.6,38,Proportion,"26.8 (15.6, 38)",278,,NA,Rajasthan,8,Ganganagar
99,dm_undiagnosed,37.6,22.8,52.5,Proportion,"37.6 (22.8, 52.5)",278,,NA,Rajasthan,8,Ganganagar
100,dm_unscreened,21.3,11.7,31,Proportion,"21.3 (11.7, 31)",256,,NA,Rajasthan,8,Hanumangarh
100,dm_undiagnosed,27.7,17.4,38,Proportion,"27.7 (17.4, 38)",256,,NA,Rajasthan,8,Hanumangarh
101,dm_unscreened,17.4,9.7,25,Proportion,"17.4 (9.7, 25)",199,,NA,Rajasthan,8,Bikaner
101,dm_undiagnosed,35.4,20.8,49.9,Proportion,"35.4 (20.8, 49.9)",199,,NA,Rajasthan,8,Bikaner
102,dm_unscreened,31.8,21.9,41.8,Proportion,"31.8 (21.9, 41.8)",200,,NA,Rajasthan,8,Churu
102,dm_undiagnosed,39.4,28.6,50.2,Proportion,"39.4 (28.6, 50.2)",200,,NA,Rajasthan,8,Churu
103,dm_unscreened,25.7,16,35.5,Proportion,"25.7 (16, 35.5)",225,,NA,Rajasthan,8,Jhunjhunun
103,dm_undiagnosed,32.9,21.4,44.3,Proportion,"32.9 (21.4, 44.3)",225,,NA,Rajasthan,8,Jhunjhunun
104,dm_unscreened,39.1,25.2,53,Proportion,"39.1 (25.2, 53)",86,,NA,Rajasthan,8,Alwar
104,dm_undiagnosed,53.2,40.4,66,Proportion,"53.2 (40.4, 66)",86,,NA,Rajasthan,8,Alwar
105,dm_unscreened,64,54.2,73.8,Proportion,"64 (54.2, 73.8)",130,,NA,Rajasthan,8,Bharatpur
105,dm_undiagnosed,69.5,59.5,79.5,Proportion,"69.5 (59.5, 79.5)",130,,NA,Rajasthan,8,Bharatpur
106,dm_unscreened,70.4,55.5,85.3,Proportion,"70.4 (55.5, 85.3)",95,,NA,Rajasthan,8,Dhaulpur
106,dm_undiagnosed,78.8,67.6,90.1,Proportion,"78.8 (67.6, 90.1)",95,,NA,Rajasthan,8,Dhaulpur
107,dm_unscreened,62.9,47.9,77.8,Proportion,"62.9 (47.9, 77.8)",85,,NA,Rajasthan,8,Karauli
107,dm_undiagnosed,79,68,90.1,Proportion,"79 (68, 90.1)",85,,NA,Rajasthan,8,Karauli
108,dm_unscreened,48,31.3,64.7,Proportion,"48 (31.3, 64.7)",92,,NA,Rajasthan,8,Sawai Madhopur
108,dm_undiagnosed,62,43.2,80.8,Proportion,"62 (43.2, 80.8)",92,,NA,Rajasthan,8,Sawai Madhopur
109,dm_unscreened,70,59.7,80.3,Proportion,"70 (59.7, 80.3)",110,,NA,Rajasthan,8,Dausa
109,dm_undiagnosed,76.7,68,85.5,Proportion,"76.7 (68, 85.5)",110,,NA,Rajasthan,8,Dausa
110,dm_unscreened,39.5,26.6,52.4,Proportion,"39.5 (26.6, 52.4)",139,,NA,Rajasthan,8,Jaipur
110,dm_undiagnosed,51.1,37.2,64.9,Proportion,"51.1 (37.2, 64.9)",139,,NA,Rajasthan,8,Jaipur
111,dm_unscreened,29.4,21.1,37.7,Proportion,"29.4 (21.1, 37.7)",182,,NA,Rajasthan,8,Sikar
111,dm_undiagnosed,38,28.4,47.6,Proportion,"38 (28.4, 47.6)",182,,NA,Rajasthan,8,Sikar
112,dm_unscreened,57.8,46.4,69.2,Proportion,"57.8 (46.4, 69.2)",137,,NA,Rajasthan,8,Nagaur
112,dm_undiagnosed,73.1,61.3,84.9,Proportion,"73.1 (61.3, 84.9)",137,,NA,Rajasthan,8,Nagaur
